NAME                                VERSION           TYPE                  
@isaacs/balanced-match              4.0.1             npm                    
@isaacs/brace-expansion             5.0.0             npm                    
@isaacs/fs-minipass                 4.0.1             npm                    
@isaacs/string-locale-compare       1.1.0             npm                    
@npmcli/agent                       4.0.0             npm                    
@npmcli/arborist                    9.1.8             npm                    
@npmcli/config                      10.4.4            npm                    
@npmcli/fs                          5.0.0             npm                    
@npmcli/git                         7.0.1             npm                    
@npmcli/installed-package-contents  4.0.0             npm                    
@npmcli/map-workspaces              5.0.3             npm                    
@npmcli/metavuln-calculator         9.0.3             npm                    
@npmcli/name-from-folder            4.0.0             npm                    
@npmcli/node-gyp                    5.0.0             npm                    
@npmcli/package-json                7.0.4             npm                    
@npmcli/promise-spawn               9.0.1             npm                    
@npmcli/query                       5.0.0             npm                    
@npmcli/redact                      4.0.0             npm                    
@npmcli/run-script                  10.0.3            npm                    
@sigstore/bundle                    4.0.0             npm                    
@sigstore/core                      3.0.0             npm                    
@sigstore/protobuf-specs            0.5.0             npm                    
@sigstore/sign                      4.0.1             npm                    
@sigstore/tuf                       4.0.0             npm                    
@sigstore/verify                    3.0.0             npm                    
@tufjs/canonical-json               2.0.0             npm                    
@tufjs/models                       4.0.0             npm                    
abbrev                              4.0.0             npm                    
accepts                             1.3.8             npm                    
acl-libs                            2.3.2-r1          apk                    
ada-libs                            2.9.2-r4          apk                    
agent-base                          7.1.4             npm                    
alpine-baselayout                   3.7.0-r0          apk                    
alpine-baselayout-data              3.7.0-r0          apk                    
alpine-keys                         2.5-r0            apk                    
alpine-release                      3.22.2-r0         apk                    
ansi-regex                          5.0.1             npm                    
apk-tools                           2.14.9-r3         apk                    
aproba                              2.1.0             npm                    
archy                               1.0.0             npm                    
array-flatten                       1.1.1             npm                    
balanced-match                      1.0.2             npm                    
bash                                5.2.37-r0         apk                    
bin-links                           6.0.0             npm                    
binary-extensions                   3.1.0             npm                    
body-parser                         1.20.3            npm                    
brace-expansion                     2.0.2             npm                    
brotli-libs                         1.1.0-r2          apk                    
busybox                             1.37.0-r20        apk                    
busybox-binsh                       1.37.0-r20        apk                    
bytes                               3.1.2             npm                    
c-ares                              1.34.6-r0         apk                    
ca-certificates                     20250911-r0       apk                    
ca-certificates-bundle              20250911-r0       apk                    
cacache                             20.0.3            npm                    
call-bind-apply-helpers             1.0.2             npm                    
call-bound                          1.0.3             npm                    
catatonit                           0.2.1-r0          apk                    
chalk                               5.6.2             npm                    
chownr                              3.0.0             npm                    
ci-info                             4.3.1             npm                    
cidr-regex                          5.0.1             npm                    
cli-columns                         4.0.0             npm                    
cmd-shim                            8.0.0             npm                    
common-ancestor-path                1.0.1             npm                    
content-disposition                 0.5.4             npm                    
content-type                        1.0.5             npm                    
cookie                              0.7.1             npm                    
cookie-signature                    1.0.6             npm                    
coreutils                           9.7-r1            apk                    
coreutils-env                       9.7-r1            apk                    
coreutils-fmt                       9.7-r1            apk                    
coreutils-sha512sum                 9.7-r1            apk                    
cssesc                              3.0.0             npm                    
curl                                8.14.1-r2         apk                    
debug                               2.6.9             npm                    
debug                               4.4.3             npm                    
depd                                2.0.0             npm                    
destroy                             1.2.0             npm                    
diff                                8.0.2             npm                    
dunder-proto                        1.0.1             npm                    
ee-first                            1.1.1             npm                    
emoji-regex                         8.0.0             npm                    
encodeurl                           1.0.2             npm                    
encodeurl                           2.0.0             npm                    
encoding                            0.1.13            npm                    
env-paths                           2.2.1             npm                    
err-code                            2.0.3             npm                    
es-define-property                  1.0.1             npm                    
es-errors                           1.3.0             npm                    
es-object-atoms                     1.1.1             npm                    
escape-html                         1.0.3             npm                    
etag                                1.8.1             npm                    
exponential-backoff                 3.1.3             npm                    
express                             4.21.2            npm                    
express-rate-limit                  7.5.0             npm                    
fastest-levenshtein                 1.0.16            npm                    
fdir                                6.5.0             npm                    
finalhandler                        1.3.1             npm                    
findutils                           4.10.0-r0         apk                    
forwarded                           0.2.0             npm                    
fresh                               0.5.2             npm                    
fs-minipass                         3.0.3             npm                    
function-bind                       1.1.2             npm                    
get-intrinsic                       1.3.0             npm                    
get-proto                           1.0.1             npm                    
glob                                13.0.0            npm                    
gopd                                1.2.0             npm                    
graceful-fs                         4.2.11            npm                    
has-symbols                         1.1.0             npm                    
hasown                              2.0.2             npm                    
hosted-git-info                     9.0.2             npm                    
http-cache-semantics                4.2.0             npm                    
http-errors                         2.0.0             npm                    
http-proxy-agent                    7.0.2             npm                    
https-proxy-agent                   7.0.6             npm                    
iconv-lite                          0.4.24            npm                    
iconv-lite                          0.6.3             npm                    
icu-data-en                         76.1-r1           apk                    
icu-libs                            76.1-r1           apk                    
ignore-walk                         8.0.0             npm                    
imurmurhash                         0.1.4             npm                    
inherits                            2.0.4             npm                    
ini                                 6.0.0             npm                    
init-package-json                   8.2.4             npm                    
ip-address                          10.0.1            npm                    
ip-regex                            5.0.0             npm                    
ipaddr.js                           1.9.1             npm                    
is-cidr                             6.0.1             npm                    
is-fullwidth-code-point             3.0.0             npm                    
isexe                               3.1.1             npm                    
jq                                  1.8.1-r0          apk                    
json-parse-even-better-errors       5.0.0             npm                    
json-stringify-nice                 1.1.4             npm                    
jsonparse                           1.3.1             npm                    
just-diff                           6.0.2             npm                    
just-diff-apply                     5.5.0             npm                    
libapk2                             2.14.9-r3         apk                    
libattr                             2.5.2-r2          apk                    
libbsd                              0.12.2-r0         apk                    
libcrypto3                          3.5.4-r0          apk                    
libcurl                             8.14.1-r2         apk                    
libgcc                              14.2.0-r6         apk                    
libidn2                             2.3.7-r0          apk                    
libintl                             0.24.1-r0         apk                    
libmd                               1.1.0-r0          apk                    
libncursesw                         6.5_p20250503-r0  apk                    
libnpmaccess                        10.0.3            npm                    
libnpmdiff                          8.0.11            npm                    
libnpmexec                          10.1.10           npm                    
libnpmfund                          7.0.11            npm                    
libnpmorg                           8.0.1             npm                    
libnpmpack                          9.0.11            npm                    
libnpmpublish                       11.1.3            npm                    
libnpmsearch                        9.0.1             npm                    
libnpmteam                          8.0.2             npm                    
libnpmversion                       8.0.3             npm                    
libproc2                            4.0.4-r3          apk                    
libpsl                              0.21.5-r3         apk                    
libssl3                             3.5.4-r0          apk                    
libstdc++                           14.2.0-r6         apk                    
libunistring                        1.3-r0            apk                    
linux-pam                           1.7.0-r4          apk                    
lru-cache                           11.2.2            npm                    
make-fetch-happen                   15.0.3            npm                    
math-intrinsics                     1.1.0             npm                    
media-typer                         0.3.0             npm                    
merge-descriptors                   1.0.3             npm                    
methods                             1.1.2             npm                    
mime                                1.6.0             npm                    
mime-db                             1.52.0            npm                    
mime-types                          2.1.35            npm                    
minimatch                           10.1.1            npm                    
minimatch                           9.0.5             npm                    
minipass                            3.3.6             npm   (+2 duplicates)  
minipass                            7.1.2             npm                    
minipass-collect                    2.0.1             npm                    
minipass-fetch                      5.0.0             npm                    
minipass-flush                      1.0.5             npm                    
minipass-pipeline                   1.2.4             npm                    
minipass-sized                      1.0.3             npm                    
minizlib                            3.1.0             npm                    
ms                                  2.0.0             npm                    
ms                                  2.1.3             npm   (+1 duplicate)   
musl                                1.2.5-r10         apk                    
musl-utils                          1.2.5-r10         apk                    
mute-stream                         3.0.0             npm                    
ncurses-terminfo-base               6.5_p20250503-r0  apk                    
negotiator                          0.6.3             npm                    
negotiator                          1.0.0             npm                    
netcat-openbsd                      1.229.1-r0        apk                    
nghttp2-libs                        1.65.0-r0         apk                    
node-gyp                            12.1.0            npm                    
nodejs                              22.22.0-r0        apk                    
nopt                                9.0.0             npm                    
npm                                 11.6.4            npm                    
npm                                 11.6.4-r0         apk                    
npm-audit-report                    7.0.0             npm                    
npm-bundled                         5.0.0             npm                    
npm-install-checks                  8.0.0             npm                    
npm-normalize-package-bin           5.0.0             npm                    
npm-package-arg                     13.0.2            npm                    
npm-packlist                        10.0.3            npm                    
npm-pick-manifest                   11.0.3            npm                    
npm-profile                         12.0.1            npm                    
npm-registry-fetch                  19.1.1            npm                    
npm-user-validate                   4.0.0             npm                    
object-inspect                      1.13.4            npm                    
on-finished                         2.4.1             npm                    
oniguruma                           6.9.10-r0         apk                    
p-map                               7.0.4             npm                    
pacote                              21.0.4            npm                    
pairdrop                            1.11.2            npm                    
parse-conflict-json                 5.0.1             npm                    
parseurl                            1.3.3             npm                    
path-scurry                         2.0.0             npm                    
path-to-regexp                      0.1.12            npm                    
picomatch                           4.0.3             npm                    
postcss-selector-parser             7.1.0             npm                    
proc-log                            5.0.0             npm                    
proc-log                            6.1.0             npm                    
procps-ng                           4.0.4-r3          apk                    
proggy                              4.0.0             npm                    
promise-all-reject-late             1.0.1             npm                    
promise-call-limit                  3.0.2             npm                    
promise-retry                       2.0.1             npm                    
promzard                            3.0.1             npm                    
proxy-addr                          2.0.7             npm                    
qrcode-terminal                     0.12.0            npm                    
qs                                  6.13.0            npm                    
range-parser                        1.2.1             npm                    
raw-body                            2.5.2             npm                    
read                                5.0.1             npm                    
